devid,window_start,window_end,avg_temperature,avg_humidity,avg_lux
72:a5:12:55:c5:00,2024-01-01T04:30:00Z,2024-01-01T04:35:00Z,24.95,39.54,1657.45
72:a5:12:55:c5:00,2024-01-01T04:35:00Z,2024-01-01T04:40:00Z,24.89,41.42,1736.85
72:a5:12:55:c5:00,2024-01-01T04:40:00Z,2024-01-01T04:45:00Z,23.83,44.3,1811.4
72:a5:12:55:c5:00,2024-01-01T04:45:00Z,2024-01-01T04:50:00Z,24.14,36.81,1624.09
72:a5:12:55:c5:00,2024-01-01T04:50:00Z,2024-01-01T04:55:00Z,24.53,39.4,1781.65
72:a5:12:55:c5:00,2024-01-01T04:55:00Z,2024-01-01T05:00:00Z,24.92,37.25,1814.54
72:a5:12:55:c5:00,2024-01-01T05:00:00Z,2024-01-01T05:05:00Z,24.54,41.59,1898.22
72:a5:12:55:c5:00,2024-01-01T05:05:00Z,2024-01-01T05:10:00Z,24.72,37.23,2033.5
72:a5:12:55:c5:00,2024-01-01T05:10:00Z,2024-01-01T05:15:00Z,24.17,35.52,1890.43
72:a5:12:55:c5:00,2024-01-01T05:15:00Z,2024-01-01T05:20:00Z,24.11,39.69,1958.32
72:a5:12:55:c5:00,2024-01-01T05:20:00Z,2024-01-01T05:25:00Z,25.32,41.9,1913.45
72:a5:12:55:c5:00,2024-01-01T05:25:00Z,2024-01-01T05:30:00Z,25.64,39.74,1913.43
72:a5:12:55:c5:00,2024-01-01T05:30:00Z,2024-01-01T05:35:00Z,24.79,38.82,1894.81
72:a5:12:55:c5:00,2024-01-01T05:35:00Z,2024-01-01T05:40:00Z,25.43,39.23,1973.77
72:a5:12:55:c5:00,2024-01-01T05:40:00Z,2024-01-01T05:45:00Z,25.05,41.24,1982.78
72:a5:12:55:c5:00,2024-01-01T05:45:00Z,2024-01-01T05:50:00Z,24.44,36.66,1927.99
72:a5:12:55:c5:00,2024-01-01T05:50:00Z,2024-01-01T05:55:00Z,25.05,38.19,1850.25
72:a5:12:55:c5:00,2024-01-01T05:55:00Z,2024-01-01T06:00:00Z,25.75,37.5,1956.04
72:a5:12:55:c5:00,2024-01-01T06:00:00Z,2024-01-01T06:05:00Z,24.98,35.66,2025.32
72:a5:12:55:c5:00,2024-01-01T06:05:00Z,2024-01-01T06:10:00Z,25.94,37.34,1987.0
72:a5:12:55:c5:00,2024-01-01T06:10:00Z,2024-01-01T06:15:00Z,23.43,40.22,2112.03
72:a5:12:55:c5:00,2024-01-01T06:15:00Z,2024-01-01T06:20:00Z,25.49,39.13,1906.16
72:a5:12:55:c5:00,2024-01-01T06:20:00Z,2024-01-01T06:25:00Z,25.05,39.29,1866.96
72:a5:12:55:c5:00,2024-01-01T06:25:00Z,2024-01-01T06:30:00Z,24.82,38.29,1956.15
72:a5:12:55:c5:00,2024-01-01T06:30:00Z,2024-01-01T06:35:00Z,25.06,39.05,2042.63
72:a5:12:55:c5:00,2024-01-01T06:35:00Z,2024-01-01T06:40:00Z,23.81,36.4,1936.65
72:a5:12:55:c5:00,2024-01-01T06:40:00Z,2024-01-01T06:45:00Z,24.87,37.38,1941.14
72:a5:12:55:c5:00,2024-01-01T06:45:00Z,2024-01-01T06:50:00Z,25.21,38.38,2057.06
72:a5:12:55:c5:00,2024-01-01T06:50:00Z,2024-01-01T06:55:00Z,25.89,38.56,2027.75
72:a5:12:55:c5:00,2024-01-01T06:55:00Z,2024-01-01T07:00:00Z,24.69,38.64,2022.62
72:a5:12:55:c5:00,2024-01-01T07:00:00Z,2024-01-01T07:05:00Z,24.34,38.13,1978.74
72:a5:12:55:c5:00,2024-01-01T07:05:00Z,2024-01-01T07:10:00Z,24.53,37.65,1906.34
72:a5:12:55:c5:00,2024-01-01T07:10:00Z,2024-01-01T07:15:00Z,25.38,44.72,1909.11
72:a5:12:55:c5:00,2024-01-01T07:15:00Z,2024-01-01T07:20:00Z,25.03,40.22,1980.44
72:a5:12:55:c5:00,2024-01-01T07:20:00Z,2024-01-01T07:25:00Z,24.51,39.24,1851.16
72:a5:12:55:c5:00,2024-01-01T07:25:00Z,2024-01-01T07:30:00Z,25.14,37.94,1803.29
72:a5:12:55:c5:00,2024-01-01T07:30:00Z,2024-01-01T07:35:00Z,24.89,37.51,1905.85
72:a5:12:55:c5:00,2024-01-01T07:35:00Z,2024-01-01T07:40:00Z,25.41,38.15,1987.7
72:a5:12:55:c5:00,2024-01-01T07:40:00Z,2024-01-01T07:45:00Z,24.41,38.99,1947.19
72:a5:12:55:c5:00,2024-01-01T07:45:00Z,2024-01-01T07:50:00Z,24.63,34.65,1983.29
72:a5:12:55:c5:00,2024-01-01T07:50:00Z,2024-01-01T07:55:00Z,24.59,35.27,1810.87
72:a5:12:55:c5:00,2024-01-01T07:55:00Z,2024-01-01T08:00:00Z,23.95,37.14,1950.78
72:a5:12:55:c5:00,2024-01-01T08:00:00Z,2024-01-01T08:05:00Z,24.51,40.02,1771.28
72:a5:12:55:c5:00,2024-01-01T08:05:00Z,2024-01-01T08:10:00Z,24.49,39.13,1651.0
72:a5:12:55:c5:00,2024-01-01T08:10:00Z,2024-01-01T08:15:00Z,24.33,42.56,1783.77
72:a5:12:55:c5:00,2024-01-01T08:15:00Z,2024-01-01T08:20:00Z,24.19,36.64,1725.36
72:a5:12:55:c5:00,2024-01-01T08:20:00Z,2024-01-01T08:25:00Z,23.48,38.11,1916.33
72:a5:12:55:c5:00,2024-01-01T08:25:00Z,2024-01-01T08:30:00Z,24.08,42.65,1601.42
72:a5:12:55:c5:00,2024-01-01T08:30:00Z,2024-01-01T08:35:00Z,24.12,39.87,1814.2
72:a5:12:55:c5:00,2024-01-01T08:35:00Z,2024-01-01T08:40:00Z,23.85,41.38,1708.4
72:a5:12:55:c5:00,2024-01-01T08:40:00Z,2024-01-01T08:45:00Z,24.23,43.71,1635.02
72:a5:12:55:c5:00,2024-01-01T08:45:00Z,2024-01-01T08:50:00Z,24.57,38.22,1700.43
72:a5:12:55:c5:00,2024-01-01T08:50:00Z,2024-01-01T08:55:00Z,25.46,39.41,1748.7
72:a5:12:55:c5:00,2024-01-01T08:55:00Z,2024-01-01T09:00:00Z,24.43,39.06,1794.3
72:a5:12:55:c5:00,2024-01-01T09:00:00Z,2024-01-01T09:05:00Z,23.69,37.61,1517.53
72:a5:12:55:c5:00,2024-01-01T09:05:00Z,2024-01-01T09:10:00Z,23.49,40.89,1499.53
72:a5:12:55:c5:00,2024-01-01T09:10:00Z,2024-01-01T09:15:00Z,22.38,43.28,1356.29
72:a5:12:55:c5:00,2024-01-01T09:15:00Z,2024-01-01T09:20:00Z,23.52,42.6,1482.02
72:a5:12:55:c5:00,2024-01-01T09:20:00Z,2024-01-01T09:25:00Z,23.57,42.75,1437.69
72:a5:12:55:c5:00,2024-01-01T09:25:00Z,2024-01-01T09:30:00Z,25.01,40.76,1374.94
72:a5:12:55:c5:00,2024-01-01T09:30:00Z,2024-01-01T09:35:00Z,23.42,40.2,1401.5
72:a5:12:55:c5:00,2024-01-01T09:35:00Z,2024-01-01T09:40:00Z,23.72,44.05,1371.62
72:a5:12:55:c5:00,2024-01-01T09:40:00Z,2024-01-01T09:45:00Z,23.51,40.52,1416.44
72:a5:12:55:c5:00,2024-01-01T09:45:00Z,2024-01-01T09:50:00Z,22.83,42.1,1370.43
72:a5:12:55:c5:00,2024-01-01T09:50:00Z,2024-01-01T09:55:00Z,24.22,41.84,1352.53
72:a5:12:55:c5:00,2024-01-01T09:55:00Z,2024-01-01T10:00:00Z,23.99,44.44,1442.96
72:a5:12:55:c5:00,2024-01-01T10:00:00Z,2024-01-01T10:05:00Z,22.97,45.94,1037.72
72:a5:12:55:c5:00,2024-01-01T10:05:00Z,2024-01-01T10:10:00Z,21.95,41.41,988.74
72:a5:12:55:c5:00,2024-01-01T10:10:00Z,2024-01-01T10:15:00Z,23.34,41.62,1082.06
72:a5:12:55:c5:00,2024-01-01T10:15:00Z,2024-01-01T10:20:00Z,21.66,45.16,984.37
72:a5:12:55:c5:00,2024-01-01T10:20:00Z,2024-01-01T10:25:00Z,22.85,43.87,981.83
72:a5:12:55:c5:00,2024-01-01T10:25:00Z,2024-01-01T10:30:00Z,23.81,43.09,1039.63
72:a5:12:55:c5:00,2024-01-01T10:30:00Z,2024-01-01T10:35:00Z,21.91,46.03,992.05
72:a5:12:55:c5:00,2024-01-01T10:35:00Z,2024-01-01T10:40:00Z,22.16,44.37,1005.09
72:a5:12:55:c5:00,2024-01-01T10:40:00Z,2024-01-01T10:45:00Z,22.56,44.1,848.77
72:a5:12:55:c5:00,2024-01-01T10:45:00Z,2024-01-01T10:50:00Z,22.2,45.56,1001.0
72:a5:12:55:c5:00,2024-01-01T10:50:00Z,2024-01-01T10:55:00Z,21.57,43.25,890.37
72:a5:12:55:c5:00,2024-01-01T10:55:00Z,2024-01-01T11:00:00Z,22.54,47.14,926.74
72:a5:12:55:c5:00,2024-01-01T11:00:00Z,2024-01-01T11:05:00Z,20.66,45.32,437.52
72:a5:12:55:c5:00,2024-01-01T11:05:00Z,2024-01-01T11:10:00Z,21.58,48.21,455.08
72:a5:12:55:c5:00,2024-01-01T11:10:00Z,2024-01-01T11:15:00Z,20.74,49.76,484.71
72:a5:12:55:c5:00,2024-01-01T11:15:00Z,2024-01-01T11:20:00Z,22.22,44.14,488.45
72:a5:12:55:c5:00,2024-01-01T11:20:00Z,2024-01-01T11:25:00Z,20.82,46.21,557.49
72:a5:12:55:c5:00,2024-01-01T11:25:00Z,2024-01-01T11:30:00Z,21.1,49.18,530.98
72:a5:12:55:c5:00,2024-01-01T11:30:00Z,2024-01-01T11:35:00Z,21.78,49.21,403.57
72:a5:12:55:c5:00,2024-01-01T11:35:00Z,2024-01-01T11:40:00Z,20.56,46.55,522.64
72:a5:12:55:c5:00,2024-01-01T11:40:00Z,2024-01-01T11:45:00Z,21.43,45.42,536.73
72:a5:12:55:c5:00,2024-01-01T11:45:00Z,2024-01-01T11:50:00Z,22.08,48.81,497.92
72:a5:12:55:c5:00,2024-01-01T11:50:00Z,2024-01-01T11:55:00Z,20.33,49.26,513.98
72:a5:12:55:c5:00,2024-01-01T11:55:00Z,2024-01-01T12:00:00Z,21.4,44.56,529.06
72:a5:12:55:c5:00,2024-01-01T12:00:00Z,2024-01-01T12:05:00Z,20.16,47.59,45.88
72:a5:12:55:c5:00,2024-01-01T12:05:00Z,2024-01-01T12:10:00Z,20.47,50.45,-94.49
72:a5:12:55:c5:00,2024-01-01T12:10:00Z,2024-01-01T12:15:00Z,19.26,51.26,-14.66
72:a5:12:55:c5:00,2024-01-01T12:15:00Z,2024-01-01T12:20:00Z,19.21,49.4,90.5
72:a5:12:55:c5:00,2024-01-01T12:20:00Z,2024-01-01T12:25:00Z,20.31,51.36,85.0
72:a5:12:55:c5:00,2024-01-01T12:25:00Z,2024-01-01T12:30:00Z,20.18,48.58,51.06
72:a5:12:55:c5:00,2024-01-01T12:30:00Z,2024-01-01T12:35:00Z,20.15,45.77,32.21
72:a5:12:55:c5:00,2024-01-01T12:35:00Z,2024-01-01T12:40:00Z,20.21,49.15,99.28
72:a5:12:55:c5:00,2024-01-01T12:40:00Z,2024-01-01T12:45:00Z,19.59,50.13,115.07
72:a5:12:55:c5:00,2024-01-01T12:45:00Z,2024-01-01T12:50:00Z,20.14,49.45,-7.74
72:a5:12:55:c5:00,2024-01-01T12:50:00Z,2024-01-01T12:55:00Z,20.18,47.68,-58.17
72:a5:12:55:c5:00,2024-01-01T12:55:00Z,2024-01-01T13:00:00Z,19.57,46.37,-16.22
72:a5:12:55:c5:00,2024-01-01T13:00:00Z,2024-01-01T13:05:00Z,19.83,52.08,185.8
72:a5:12:55:c5:00,2024-01-01T13:05:00Z,2024-01-01T13:10:00Z,18.99,54.9,-94.16
72:a5:12:55:c5:00,2024-01-01T13:10:00Z,2024-01-01T13:15:00Z,17.99,55.62,-28.23
72:a5:12:55:c5:00,2024-01-01T13:15:00Z,2024-01-01T13:20:00Z,19.1,55.48,-84.76
72:a5:12:55:c5:00,2024-01-01T13:20:00Z,2024-01-01T13:25:00Z,18.12,51.47,7.49
72:a5:12:55:c5:00,2024-01-01T13:25:00Z,2024-01-01T13:30:00Z,19.18,50.8,-72.16
72:a5:12:55:c5:00,2024-01-01T13:30:00Z,2024-01-01T13:35:00Z,19.4,54.1,-6.53
72:a5:12:55:c5:00,2024-01-01T13:35:00Z,2024-01-01T13:40:00Z,18.21,54.38,-117.01
72:a5:12:55:c5:00,2024-01-01T13:40:00Z,2024-01-01T13:45:00Z,19.28,53.91,37.06
72:a5:12:55:c5:00,2024-01-01T13:45:00Z,2024-01-01T13:50:00Z,18.95,49.08,73.34
72:a5:12:55:c5:00,2024-01-01T13:50:00Z,2024-01-01T13:55:00Z,19.2,51.37,-23.04
72:a5:12:55:c5:00,2024-01-01T13:55:00Z,2024-01-01T14:00:00Z,19.84,53.05,-8.11
72:a5:12:55:c5:00,2024-01-01T14:00:00Z,2024-01-01T14:05:00Z,17.35,56.97,-9.8
72:a5:12:55:c5:00,2024-01-01T14:05:00Z,2024-01-01T14:10:00Z,17.05,57.53,10.85
72:a5:12:55:c5:00,2024-01-01T14:10:00Z,2024-01-01T14:15:00Z,16.97,56.29,-2.29
72:a5:12:55:c5:00,2024-01-01T14:15:00Z,2024-01-01T14:20:00Z,17.01,56.66,46.09
72:a5:12:55:c5:00,2024-01-01T14:20:00Z,2024-01-01T14:25:00Z,17.45,56.17,73.98
72:a5:12:55:c5:00,2024-01-01T14:25:00Z,2024-01-01T14:30:00Z,17.7,57.37,-48.84
72:a5:12:55:c5:00,2024-01-01T14:30:00Z,2024-01-01T14:35:00Z,17.67,56.63,-18.56
72:a5:12:55:c5:00,2024-01-01T14:35:00Z,2024-01-01T14:40:00Z,18.0,56.13,54.1
72:a5:12:55:c5:00,2024-01-01T14:40:00Z,2024-01-01T14:45:00Z,17.51,55.46,-85.3
72:a5:12:55:c5:00,2024-01-01T14:45:00Z,2024-01-01T14:50:00Z,18.37,56.16,-118.24
72:a5:12:55:c5:00,2024-01-01T14:50:00Z,2024-01-01T14:55:00Z,17.34,56.97,13.58
72:a5:12:55:c5:00,2024-01-01T14:55:00Z,2024-01-01T15:00:00Z,19.13,56.53,29.78
72:a5:12:55:c5:00,2024-01-01T15:00:00Z,2024-01-01T15:05:00Z,16.84,59.25,-43.34
72:a5:12:55:c5:00,2024-01-01T15:05:00Z,2024-01-01T15:10:00Z,15.95,61.17,-34.72
72:a5:12:55:c5:00,2024-01-01T15:10:00Z,2024-01-01T15:15:00Z,15.82,59.02,-45.61
72:a5:12:55:c5:00,2024-01-01T15:15:00Z,2024-01-01T15:20:00Z,16.75,57.19,-52.02
72:a5:12:55:c5:00,2024-01-01T15:20:00Z,2024-01-01T15:25:00Z,16.33,60.25,41.61
72:a5:12:55:c5:00,2024-01-01T15:25:00Z,2024-01-01T15:30:00Z,16.89,55.75,-70.83
72:a5:12:55:c5:00,2024-01-01T15:30:00Z,2024-01-01T15:35:00Z,16.75,56.32,-15.93
72:a5:12:55:c5:00,2024-01-01T15:35:00Z,2024-01-01T15:40:00Z,16.42,59.16,-54.32
72:a5:12:55:c5:00,2024-01-01T15:40:00Z,2024-01-01T15:45:00Z,15.96,59.52,-87.32
72:a5:12:55:c5:00,2024-01-01T15:45:00Z,2024-01-01T15:50:00Z,15.56,56.0,52.21
72:a5:12:55:c5:00,2024-01-01T15:50:00Z,2024-01-01T15:55:00Z,16.2,57.72,-31.19
72:a5:12:55:c5:00,2024-01-01T15:55:00Z,2024-01-01T16:00:00Z,16.98,57.27,11.31
72:a5:12:55:c5:00,2024-01-01T16:00:00Z,2024-01-01T16:05:00Z,15.8,59.42,-90.48
72:a5:12:55:c5:00,2024-01-01T16:05:00Z,2024-01-01T16:10:00Z,14.92,62.28,-44.52
72:a5:12:55:c5:00,2024-01-01T16:10:00Z,2024-01-01T16:15:00Z,15.77,61.81,45.37
72:a5:12:55:c5:00,2024-01-01T16:15:00Z,2024-01-01T16:20:00Z,15.9,60.35,155.24
72:a5:12:55:c5:00,2024-01-01T16:20:00Z,2024-01-01T16:25:00Z,15.14,59.3,-118.57
72:a5:12:55:c5:00,2024-01-01T16:25:00Z,2024-01-01T16:30:00Z,15.76,57.69,-12.07
72:a5:12:55:c5:00,2024-01-01T16:30:00Z,2024-01-01T16:35:00Z,15.7,63.23,24.74
72:a5:12:55:c5:00,2024-01-01T16:35:00Z,2024-01-01T16:40:00Z,14.98,61.58,-36.97
72:a5:12:55:c5:00,2024-01-01T16:40:00Z,2024-01-01T16:45:00Z,15.88,58.98,50.97
72:a5:12:55:c5:00,2024-01-01T16:45:00Z,2024-01-01T16:50:00Z,16.01,61.83,-52.0
72:a5:12:55:c5:00,2024-01-01T16:50:00Z,2024-01-01T16:55:00Z,16.32,60.25,9.23
72:a5:12:55:c5:00,2024-01-01T16:55:00Z,2024-01-01T17:00:00Z,16.3,59.82,-31.32
72:a5:12:55:c5:00,2024-01-01T17:00:00Z,2024-01-01T17:05:00Z,14.34,62.46,73.17
72:a5:12:55:c5:00,2024-01-01T17:05:00Z,2024-01-01T17:10:00Z,14.61,60.11,-40.58
72:a5:12:55:c5:00,2024-01-01T17:10:00Z,2024-01-01T17:15:00Z,15.48,60.9,-21.11
72:a5:12:55:c5:00,2024-01-01T17:15:00Z,2024-01-01T17:20:00Z,15.48,61.83,56.74
72:a5:12:55:c5:00,2024-01-01T17:20:00Z,2024-01-01T17:25:00Z,15.48,60.59,-61.68
72:a5:12:55:c5:00,2024-01-01T17:25:00Z,2024-01-01T17:30:00Z,17.48,62.93,4.13
72:a5:12:55:c5:00,2024-01-01T17:30:00Z,2024-01-01T17:35:00Z,15.51,65.33,-109.35
72:a5:12:55:c5:00,2024-01-01T17:35:00Z,2024-01-01T17:40:00Z,15.85,60.08,-65.28
72:a5:12:55:c5:00,2024-01-01T17:40:00Z,2024-01-01T17:45:00Z,15.74,58.26,22.93
72:a5:12:55:c5:00,2024-01-01T17:45:00Z,2024-01-01T17:50:00Z,15.56,57.59,-59.44
72:a5:12:55:c5:00,2024-01-01T17:50:00Z,2024-01-01T17:55:00Z,14.98,61.29,-32.67
72:a5:12:55:c5:00,2024-01-01T17:55:00Z,2024-01-01T18:00:00Z,15.63,60.26,29.59
72:a5:12:55:c5:00,2024-01-01T18:00:00Z,2024-01-01T18:05:00Z,14.54,62.42,-34.75
72:a5:12:55:c5:00,2024-01-01T18:05:00Z,2024-01-01T18:10:00Z,14.86,62.27,49.37
72:a5:12:55:c5:00,2024-01-01T18:10:00Z,2024-01-01T18:15:00Z,14.71,58.79,12.94
72:a5:12:55:c5:00,2024-01-01T18:15:00Z,2024-01-01T18:20:00Z,15.05,58.37,26.14
72:a5:12:55:c5:00,2024-01-01T18:20:00Z,2024-01-01T18:25:00Z,16.39,62.59,74.46
72:a5:12:55:c5:00,2024-01-01T18:25:00Z,2024-01-01T18:30:00Z,13.88,62.27,19.19
72:a5:12:55:c5:00,2024-01-01T18:30:00Z,2024-01-01T18:35:00Z,15.41,61.15,92.33
72:a5:12:55:c5:00,2024-01-01T18:35:00Z,2024-01-01T18:40:00Z,14.03,58.69,54.68
72:a5:12:55:c5:00,2024-01-01T18:40:00Z,2024-01-01T18:45:00Z,14.72,62.94,-31.41
72:a5:12:55:c5:00,2024-01-01T18:45:00Z,2024-01-01T18:50:00Z,15.65,64.54,77.59
72:a5:12:55:c5:00,2024-01-01T18:50:00Z,2024-01-01T18:55:00Z,15.04,62.56,15.83
72:a5:12:55:c5:00,2024-01-01T18:55:00Z,2024-01-01T19:00:00Z,14.35,60.31,-23.68
72:a5:12:55:c5:00,2024-01-01T19:00:00Z,2024-01-01T19:05:00Z,14.74,61.68,16.7
72:a5:12:55:c5:00,2024-01-01T19:05:00Z,2024-01-01T19:10:00Z,15.58,58.86,66.74
72:a5:12:55:c5:00,2024-01-01T19:10:00Z,2024-01-01T19:15:00Z,14.73,63.71,27.3
72:a5:12:55:c5:00,2024-01-01T19:15:00Z,2024-01-01T19:20:00Z,15.3,61.75,109.34
72:a5:12:55:c5:00,2024-01-01T19:20:00Z,2024-01-01T19:25:00Z,15.2,58.05,65.19
72:a5:12:55:c5:00,2024-01-01T19:25:00Z,2024-01-01T19:30:00Z,14.78,60.99,31.39
72:a5:12:55:c5:00,2024-01-01T19:30:00Z,2024-01-01T19:35:00Z,16.46,62.52,-61.56
72:a5:12:55:c5:00,2024-01-01T19:35:00Z,2024-01-01T19:40:00Z,15.55,60.93,-10.78
72:a5:12:55:c5:00,2024-01-01T19:40:00Z,2024-01-01T19:45:00Z,13.96,61.04,4.3
72:a5:12:55:c5:00,2024-01-01T19:45:00Z,2024-01-01T19:50:00Z,15.28,59.14,41.8
72:a5:12:55:c5:00,2024-01-01T19:50:00Z,2024-01-01T19:55:00Z,14.77,62.72,38.24
72:a5:12:55:c5:00,2024-01-01T19:55:00Z,2024-01-01T20:00:00Z,15.68,60.29,10.17
72:a5:12:55:c5:00,2024-01-01T20:00:00Z,2024-01-01T20:05:00Z,15.19,56.08,7.22
72:a5:12:55:c5:00,2024-01-01T20:05:00Z,2024-01-01T20:10:00Z,15.6,59.65,43.23
72:a5:12:55:c5:00,2024-01-01T20:10:00Z,2024-01-01T20:15:00Z,15.97,62.35,-51.52
72:a5:12:55:c5:00,2024-01-01T20:15:00Z,2024-01-01T20:20:00Z,16.19,59.62,101.73
72:a5:12:55:c5:00,2024-01-01T20:20:00Z,2024-01-01T20:25:00Z,14.95,63.87,-122.83
72:a5:12:55:c5:00,2024-01-01T20:25:00Z,2024-01-01T20:30:00Z,15.47,61.25,87.32
