hour,minute,day_of_week,time_diff,label
8,55,5,269.46881755700144,0
4,0,2,30.72416387466213,0
8,21,1,87.83908106850973,0
20,58,0,273.0812848047558,0
15,15,6,239.77006641056573,0
11,9,0,124.82330459072143,0
23,7,2,214.16836150215545,0
23,28,1,227.54635064257718,0
0,29,5,268.1718532182018,0
8,23,0,262.25782479457996,0
20,11,6,80.06202705330676,0
0,8,6,136.70181627248041,0
9,10,6,102.3899146283273,0
20,3,3,234.12545528195,0
14,59,4,213.00302879900275,0
17,51,6,198.93031266752777,0
4,55,4,205.77727670172942,0
12,44,1,1.440907634187798,0
6,6,0,192.38380019946874,0
3,26,0,78.95617187199112,0
19,8,1,115.89646143530786,0
17,2,4,1.0418841445916693,0
17,3,0,31.27990119996358,0
20,8,2,35.48994843209381,0
20,29,1,195.28487538269349,0
0,3,3,290.8549853398354,0
17,6,4,136.8443410820247,0
8,20,1,48.91393852299586,0
18,48,4,1127.9195546339245,0
7,57,6,55.3223888141531,0
21,21,1,108.58985691925632,0
14,22,1,1007.2105639719075,0
11,3,6,55.35338526581364,0
16,48,0,1035.0966817772676,0
23,38,6,65.25878094482692,0
8,49,2,190.36042157468876,0
9,7,3,296.2418312881813,0
12,32,1,67.49690906100884,0
16,6,4,238.6821073919758,0
2,9,0,259.5538148493332,0
10,4,1,208.5871616987308,0
5,24,1,198.67503920475707,0
1,3,1,130.03122337175517,0
18,13,4,279.1570252945263,0
8,6,4,854.9270717564393,0
7,45,6,80.02582225039563,0
9,31,6,212.37070900177625,0
4,45,2,186.1660901600238,0
11,45,0,133.44390429587526,0
12,46,2,155.34339201247224,0
19,56,6,251.52208474409653,0
1,34,5,72.85936858346263,0
7,55,0,167.90272819651764,0
4,37,0,170.87580122361192,0
16,2,4,50.86914453699532,0
5,48,2,280.6019598090101,0
16,7,0,72.30972722777881,0
14,48,2,88.13421690241913,0
0,47,4,269.6299412973368,0
13,46,1,105.92634311429207,0
3,3,6,291.4554848787126,0
21,22,1,72.55452085029353,0
16,25,3,250.29761927793433,0
20,39,0,48.440440511516094,0
20,58,5,134.37245216185462,0
20,39,6,206.52997624994538,0
22,9,2,48.9556427391359,0
18,0,1,273.77215227255056,0
4,33,1,180.96932874709475,0
3,15,1,250.63721731686022,0
12,9,2,109.9920671868966,0
23,45,4,234.729569642336,0
21,50,3,204.8016121284857,0
13,43,6,276.7747835879398,0
1,13,5,194.59012166835652,0
5,57,1,232.61735179436104,0
9,15,5,2.836953035640093,0
10,55,1,269.1167064634049,0
7,39,5,199.3019832289776,0
11,3,5,43.95039005934926,0
8,45,1,198.5785700483462,0
1,35,5,269.1388321310284,0
9,29,6,69.49178010705882,0
3,5,2,254.34642366576915,0
8,4,6,6.842613628277199,0
1,34,4,46.9518718125583,0
18,2,4,106.98930485667816,0
19,35,1,210.66883669711498,0
19,19,3,182.95320863010818,0
12,19,6,68.77751868963733,0
21,4,5,121.21737462234914,0
4,24,5,194.2459183138648,0
3,39,6,298.37665781430485,0
0,36,6,243.51615822223502,0
7,29,2,247.00160667526825,0
2,11,5,162.9718740229256,0
4,4,5,162.21271395595076,0
22,13,3,293.0665299810391,0
11,0,6,277.60435583120454,0
5,32,5,9.944076262376772,1
20,21,0,274.05780498058266,0
0,1,1,270.4821966846648,0
1,24,0,50.95445151514768,0
3,56,3,218.5219603543313,0
2,19,0,199.1831487460329,0
12,49,6,33.52486665427351,0
16,4,3,206.84018449496503,0
20,48,3,3.1827271631276344,0
5,36,3,1059.3355087833463,1
7,16,6,195.13409357687212,0
18,28,5,129.56212228418025,0
19,9,2,220.22929659698048,0
22,9,6,299.30057808657165,0
3,3,3,287.0411985468064,0
5,24,3,183.59195067379923,0
13,19,4,3.8342331247456016,0
3,43,3,100.92167427464136,0
12,26,4,242.75179267200457,0
21,25,3,128.75148739803166,0
18,13,5,198.66032795377376,0
0,45,3,192.58405773913609,0
16,31,2,265.41125515341287,0
6,44,3,281.7868498512023,0
21,35,2,112.87626832983591,0
6,47,4,6.02079427348791,0
5,6,3,155.00851794727504,0
2,36,5,244.46924643237259,0
18,8,4,159.04827962532272,0
21,28,6,874.0211250694288,0
21,19,1,776.9186887184832,0
23,0,5,59.322064237987036,0
23,55,4,217.2942677534483,0
4,35,3,189.2933681976095,0
23,36,2,243.32807471724283,0
19,1,1,196.0231511148691,0
14,51,1,264.44566920671434,0
19,21,0,94.48859285165918,0
18,32,0,141.44297752220635,0
10,36,4,230.46020735279603,0
9,6,6,49.76732747763798,0
20,55,5,183.60700870532304,0
16,27,3,136.7219409262743,0
8,44,5,1.7566549698271394,0
7,34,3,297.0899786136658,0
22,20,4,39.42796894619984,0
14,24,3,190.71457951480156,0
17,32,2,33.01538860207103,0
13,5,2,257.38835630985375,0
4,13,4,69.8783044243313,0
12,0,1,191.4737501328353,0
11,19,1,177.3432495872923,0
6,52,5,170.85218133579806,0
1,20,5,1173.5019667741112,1
15,25,4,5.36763829765775,0
19,10,2,167.4858836923413,0
20,14,2,281.0650213542924,0
0,44,4,146.94592357712088,0
16,22,2,92.5534306004682,0
3,42,0,181.24130497943716,0
9,7,2,122.47189778033689,0
7,56,5,263.49993558519884,0
11,5,0,96.62161466452433,0
6,0,1,239.9752760862213,0
21,47,4,6.022950893478668,0
15,56,4,215.36033835947927,0
18,1,3,178.21169432256565,0
19,18,3,61.11397501095324,0
16,17,3,38.609125446499455,0
14,57,6,267.13252742190275,0
12,58,4,75.48963603095699,0
2,53,2,196.67637873859096,0
3,54,2,191.98790204561763,0
17,50,5,254.90878830292317,0
1,29,4,113.35055225318658,0
10,35,5,64.53768762874796,0
23,50,0,163.56043798125384,0
19,53,2,32.442075858389124,0
22,5,4,135.79747112572818,0
12,20,0,154.9455993719569,0
2,4,3,1.8854971680713395,1
18,17,5,46.399153451011436,0
14,38,6,95.82562495649756,0
21,50,4,183.4640791911638,0
5,31,1,296.0824729618954,0
6,51,5,171.2033639570292,0
19,12,6,228.9171900826709,0
10,17,0,5.838205813598238,0
15,0,4,295.7723827760054,0
20,7,5,299.0503925959546,0
6,47,5,165.64488031541717,0
12,1,3,234.88887580633605,0
13,51,5,600.4306046123355,0
2,17,2,142.33975973482893,0
8,51,4,289.3933549683212,0
22,19,2,117.36071519311845,0
5,16,6,34.92805393304718,0
21,52,4,61.699275420733244,0
6,29,0,164.45869141404964,0
3,43,6,141.30559066029784,0
18,39,0,254.9657046459437,0
15,47,2,79.56717103963597,0
2,54,0,238.19728760929488,0
12,35,5,73.80797753392591,0
22,48,6,188.01241507299443,0
20,19,6,636.3653830192084,0
4,17,4,48.875153337987896,0
21,14,6,288.4820556271364,0
12,30,5,254.1852960449936,0
7,27,5,98.5949706120795,0
22,23,1,99.7408746780301,0
5,2,2,157.6685748525239,0
5,33,6,169.77266182671744,0
3,9,3,61.473119529104,0
20,24,5,181.3961799953644,0
7,17,1,691.4993798368413,0
14,46,6,292.3638927781719,0
13,8,5,252.33342172515358,0
21,23,1,221.13791295891906,0
6,47,6,600.8210189099,0
1,45,0,263.73067440869175,0
17,10,2,817.2390080742157,0
5,31,4,75.38113997254081,0
19,52,0,278.2608488317664,0
11,55,5,298.1829376913435,0
4,14,0,266.3699691070069,0
18,28,6,58.655008059765606,0
10,26,2,268.2044343981963,0
15,8,1,196.8699026560521,0
17,9,3,246.14939345533807,0
12,27,2,270.3017306225589,0
13,16,2,121.42569004398692,0
15,46,6,75.46895874952142,0
22,25,4,57.2510169417775,0
14,35,3,81.74416844628993,0
8,35,4,296.7936597165025,0
19,43,4,250.31546986132832,0
1,22,4,128.81484890248632,0
14,38,2,127.68710198544933,0
16,43,4,263.9720279222463,0
11,14,2,268.7489800240669,0
14,14,3,159.81830701715504,0
20,27,6,188.4294886128403,0
17,29,1,1159.5426992576122,0
13,41,0,177.9788312749565,0
10,25,4,220.31446151867993,0
14,51,6,183.85536320262023,0
10,16,6,101.10756631283317,0
18,49,1,139.85306765230894,0
11,40,5,41.11123653597707,0
3,27,1,36.308935947021766,0
18,13,5,180.27290579972714,0
13,2,4,269.02320174517314,0
5,8,6,285.8380294668949,0
6,16,5,51.37305221748949,0
16,29,3,79.00083787605239,0
14,20,5,240.74682381983953,0
7,23,4,195.8112878551977,0
6,39,1,208.33723119187388,0
12,57,4,285.2170459056982,0
8,49,2,190.2870644449473,0
19,30,2,247.1220344928154,0
20,2,6,278.9699398224774,0
11,24,5,238.92670857148173,0
6,53,1,201.71957140055252,0
1,52,5,85.88148139691206,0
22,56,4,69.24675849129096,0
3,3,6,213.84188662567664,0
22,8,6,48.11304628671628,0
10,53,5,234.06910920116036,0
20,49,0,62.23773082012634,0
22,0,4,89.7023241191857,0
13,5,2,30.532299453651525,0
15,13,5,157.6640490076732,0
0,14,4,185.71663676675823,0
14,5,5,82.42733408864814,0
14,1,6,221.68233383615967,0
3,22,3,237.71511111582555,0
23,13,6,249.60755689495713,0
4,43,6,80.93350353582758,0
21,53,2,225.08275424408438,0
11,51,2,265.0444286320893,0
21,43,4,229.69670124503983,0
21,37,2,66.19012724874531,0
9,53,2,247.45289481391686,0
3,41,1,225.9282288790089,0
15,14,4,278.53071028541376,0
3,37,3,39.159918566512175,0
7,51,0,778.8760596194585,0
20,22,4,209.12564341342025,0
22,26,3,116.3358806949884,0
12,23,3,84.60153242214653,0
5,30,0,157.34804812405866,0
12,30,2,143.6612097451206,0
4,30,6,211.45821564549198,0
16,10,6,129.50954872150976,0
16,26,3,257.6910545018234,0
0,42,3,50.29562714046695,0
6,7,1,169.51181671704407,0
1,1,2,265.51760368918184,0
12,21,0,179.695204065796,0
14,14,6,154.92739696190804,0
3,38,1,147.08131889588702,0
0,23,0,199.18976554911958,0
11,36,6,67.53915176402461,0
9,23,6,803.2911013703273,0
13,33,1,4.1103864927701705,0
11,20,2,45.5268098396662,0
19,3,6,266.11483690340265,0
1,34,0,282.39346467584863,0
22,55,1,220.5985996119921,0
14,30,3,41.01924429425736,0
14,42,4,95.2785651302066,0
16,12,3,160.30457379469766,0
5,9,2,72.81315565480901,0
14,37,0,278.0308746037028,0
7,47,1,123.70291572242836,0
22,39,2,253.90902302629482,0
9,31,1,30.49349480476821,0
6,36,1,91.37351234059233,0
19,54,1,87.4030910367585,0
16,19,3,280.9042361629814,0
17,43,4,298.2900931490938,0
16,14,6,196.8487257562442,0
17,10,6,35.10761639523413,0
16,52,2,2.1177464993983994,0
7,9,0,1103.1380920177085,0
0,26,6,1178.943913368582,1
22,41,5,91.5054263216909,0
17,30,2,6.910436405759095,0
13,38,6,194.0978719983232,0
11,26,2,151.78627782261546,0
15,46,1,72.62553492514795,0
2,46,4,1094.770171431724,1
12,52,5,180.48228131630466,0
16,31,4,48.72400977111808,0
13,40,0,52.27677367879466,0
0,9,0,232.08637032222464,0
13,43,3,124.29595144198636,0
2,13,4,6.491148148639839,1
17,28,5,195.421553784296,0
10,4,6,84.97517553188257,0
15,31,6,869.4765897369214,0
6,4,1,216.07876732211966,0
12,29,3,279.00726959878193,0
23,0,3,299.5061796585224,0
11,32,3,244.1390716951552,0
3,8,3,193.8420045977209,0
20,17,2,250.11659545092667,0
9,11,4,41.233741492543274,0
4,31,0,134.49032542843835,0
17,10,6,185.73522502028882,0
21,56,4,241.02336289107615,0
11,39,3,3.086437126920999,0
1,13,2,145.36379710056252,0
14,58,2,127.48285788353641,0
16,54,4,112.40566474594814,0
5,26,5,1.5969977957891857,1
12,44,4,267.4827402556921,0
9,20,0,136.67069531773345,0
8,2,3,70.15832876948755,0
2,41,1,112.54116864343476,0
23,21,1,124.01829612586573,0
21,19,2,44.20797862489245,0
12,57,1,216.74593422124286,0
11,11,0,263.84825240642647,0
8,31,4,138.39005833100776,0
19,42,0,196.12784538544867,0
2,17,5,130.1292819055626,0
0,51,1,169.20012937981852,0
18,18,5,775.7239915810956,0
15,54,0,138.34799589716556,0
1,44,1,273.91199669296316,0
2,9,1,173.2574656544193,0
20,42,2,126.50990330596295,0
5,26,5,247.68336292051342,0
2,16,3,77.32860589287766,0
4,10,2,150.61840198296034,0
5,55,6,141.8769294443462,0
7,9,1,67.59847463236873,0
23,5,2,134.99423275514863,0
22,21,6,257.6984288970185,0
11,29,5,169.83643514747558,0
14,4,2,143.01719351339761,0
13,34,1,61.09781362971559,0
20,25,3,51.26617688989409,0
21,52,5,63.416285317175074,0
4,10,0,238.41657430241222,0
14,56,2,142.84439429878546,0
7,12,4,237.89037491109232,0
4,50,5,295.14250157205396,0
16,0,4,223.764976768979,0
1,0,2,244.72153008136684,0
4,0,1,125.81802343593056,0
2,38,6,43.43909566036445,0
14,17,0,97.75174284245664,0
23,1,2,90.83688302441115,0
8,11,3,102.90402650149302,0
1,0,1,263.669716236298,0
14,53,1,43.37654654551007,0
20,53,6,285.7355425393946,0
9,16,1,64.74197398786146,0
6,14,5,118.1131957526801,0
6,4,0,57.570744163916714,0
21,28,5,245.94519618511728,0
6,53,3,639.480108203891,0
11,26,1,277.4594330448441,0
14,27,5,283.01310156553177,0
21,30,0,261.07222024162303,0
18,2,1,118.49668301497955,0
7,19,6,66.58840892184209,0
11,11,5,70.32942278287655,0
19,12,1,186.17824019110236,0
5,42,4,190.79939885771805,0
3,1,6,191.49442456992153,0
4,5,0,244.0203889676808,0
11,17,1,156.90440340348192,0
22,13,0,141.3296441095149,0
19,32,2,30.964042533218347,0
10,59,2,110.28180721741445,0
2,27,3,252.47135587782577,0
21,42,1,229.85433842236463,0
8,38,4,86.39941759196986,0
23,30,1,266.8635596080161,0
1,18,3,203.54603284333632,0
22,47,3,91.84340856806219,0
4,6,6,808.7320753043759,1
17,12,5,162.35218513337136,0
0,19,2,33.03395330107051,0
0,16,0,189.37775532671796,0
0,11,2,130.91993533394418,0
20,59,5,66.93638742094481,0
11,46,5,44.342474704146305,0
19,38,5,208.5732553799197,0
15,22,0,44.962622581967125,0
10,34,5,78.43182693000398,0
2,21,0,54.14896640137887,0
7,22,0,74.9399242141208,0
18,47,6,193.26304891979422,0
2,0,5,233.27826141985565,0
5,17,5,83.34073403122017,0
16,43,1,171.3797717319176,0
3,57,6,694.0359166266037,1
12,37,2,870.1075163967396,0
13,44,1,218.131390294784,0
22,15,4,123.47618170949728,0
23,48,0,165.83415176070986,0
13,56,5,169.84237648684993,0
7,15,0,289.161443285208,0
19,13,1,229.43252992137732,0
17,18,0,69.05326458923616,0
9,42,2,54.16004904132906,0
14,28,1,164.35105551025032,0
7,51,6,861.2634726803905,0
12,41,5,200.29018872784505,0
15,11,0,255.56849883612298,0
7,6,4,95.0978972656648,0
16,58,4,191.66040435630936,0
11,53,0,155.40782491491552,0
0,15,6,111.3615713546341,0
21,16,2,168.38962757073782,0
18,28,0,73.56955093911687,0
10,34,6,239.73927840291827,0
13,41,6,198.14794666202576,0
1,14,6,203.6865986252772,0
16,22,6,61.8572588682336,0
9,11,5,70.3170808318369,0
4,16,1,133.28557205195352,0
22,1,5,33.0061168534606,0
6,35,4,3.3946022729117886,0
18,27,6,258.7857119209094,0
14,13,5,164.57118619350865,0
8,20,6,294.62824267034273,0
23,31,3,127.70047757245077,0
15,14,1,188.17342974740816,0
21,26,2,208.62745474446328,0
13,35,2,224.2078248538327,0
22,31,4,61.320307409561615,0
4,12,2,95.6606511884106,0
17,2,3,1132.7229354156107,0
23,31,3,69.96101530113593,0
3,40,2,36.86118798018685,0
7,5,2,34.365824385733916,0
20,27,2,207.5051715953948,0
2,13,3,46.27741880526407,0
23,13,3,107.36362598786715,0
5,1,6,91.75214027790364,0
8,15,0,38.4874091587974,0
9,15,0,126.97179218170996,0
8,10,1,185.19614151802594,0
9,10,1,141.96680329794424,0
17,29,4,155.35458806713277,0
20,18,4,168.7942547560062,0
19,42,4,116.73681243655115,0
11,22,5,276.13237223531644,0
0,22,0,9.63884554425942,1
3,3,0,126.1674437692059,0
21,40,6,145.5332446713009,0
10,3,1,151.36091425771218,0
11,48,5,292.4323324718582,0
10,11,5,44.21863729510538,0
9,50,6,70.76353073792103,0
2,34,5,280.890908106468,0
1,46,4,136.29785530583547,0
15,30,6,125.14495011610731,0
16,28,4,928.3687749036523,0
20,37,6,212.05672154774024,0
20,43,6,1158.4319122466504,0
20,43,5,175.9135223899176,0
4,39,0,296.4723379190268,0
2,56,5,129.28863234752916,0
9,34,1,78.83794808238147,0
0,12,0,262.75713781807116,0
2,22,3,230.66385831696073,0
20,45,2,132.24420100282458,0
7,45,3,197.10335320329187,0
0,29,6,126.57468890125563,0
21,32,1,4.198655848198674,0
21,10,1,130.79181443609178,0
19,8,6,120.36166596754158,0
21,46,3,135.0794750376019,0
8,59,2,182.57932674110162,0
5,2,0,237.07946238152147,0
9,16,1,2.217639382323121,0
6,35,4,258.60553278387954,0
14,38,0,93.51897332811635,0
13,55,1,206.36791128580106,0
1,49,0,214.2299844548306,0
14,51,4,260.09353565392416,0
13,59,5,182.9480744516435,0
7,31,6,206.14757218677596,0
10,24,1,291.3996015326176,0
8,1,5,6.465414681695498,0
18,8,0,102.82690653658688,0
5,58,1,86.16138858668224,0
20,1,1,3.6763290459052778,0
9,11,3,250.8779949065767,0
23,21,2,185.6072974507417,0
1,29,6,93.09126169920977,0
13,52,2,720.3594977790435,0
13,16,3,232.45365326221147,0
11,21,5,62.85642607776243,0
12,59,4,284.81030656517487,0
4,39,5,8.213583085851123,1
22,55,4,80.29835619229576,0
20,45,5,110.15094653107006,0
22,41,5,31.498713319387928,0
0,26,5,267.81006089190225,0
2,0,2,79.20096814943099,0
21,1,2,299.2896884638804,0
9,27,4,156.82255740542644,0
9,56,4,35.07599804101798,0
14,53,4,42.53454257989337,0
12,50,1,287.69525107805043,0
16,38,6,83.88802436722406,0
17,10,3,196.89856193857898,0
8,44,0,131.03063821460938,0
19,30,4,214.29278197945655,0
12,25,3,224.70817169377415,0
12,23,4,155.8358176381383,0
19,17,2,76.94991958243585,0
19,5,3,227.8689570908181,0
12,35,4,181.97353328373748,0
6,5,6,74.02633167133517,0
17,29,2,149.34642954065896,0
2,16,0,93.27526652806009,0
18,3,5,191.58250750177135,0
9,44,0,242.74508772076575,0
7,39,2,241.41315994864595,0
15,41,1,201.96231435355884,0
8,24,3,167.44049927592815,0
7,7,0,174.884088847786,0
15,43,1,141.9054798655107,0
10,53,3,153.35274902043028,0
20,16,5,233.96200398351,0
22,5,5,1156.0846915494562,0
10,14,3,208.39165936226297,0
23,47,6,9.417573029183522,0
3,28,5,192.38782170269548,0
4,30,6,142.03045666408335,0
14,10,5,112.17413013403451,0
16,16,4,97.74900833378095,0
7,20,6,239.77920793256138,0
6,44,6,107.7604411625557,0
0,20,3,1126.7398176346392,1
8,48,4,64.07420656701271,0
11,10,5,78.47714929453116,0
2,13,0,194.83494712497415,0
23,3,0,195.39569119282612,0
17,16,1,87.01218922203498,0
20,58,6,125.4770019068447,0
15,1,0,985.5183290222036,0
23,31,3,95.6187198406391,0
21,10,3,1051.8396382155822,0
7,13,0,150.42044699659303,0
19,45,0,256.0571005432355,0
3,23,4,222.28700437817963,0
16,45,3,223.90809178794012,0
4,2,4,130.063509767854,0
14,28,0,86.95978930868696,0
11,25,0,217.20630609864372,0
22,47,6,52.741744554878636,0
17,5,4,120.24197865206773,0
9,29,0,70.17353806273778,0
3,6,5,44.577371203473575,0
3,26,2,32.9079948976305,0
20,19,0,1089.353639912012,0
11,4,1,178.72963993060625,0
1,45,5,96.64769705678161,0
23,55,3,132.16843234974323,0
16,38,4,92.3801835190697,0
10,11,5,88.76272951575162,0
4,38,3,174.66256549093313,0
4,26,3,50.93180992404206,0
10,1,6,248.43796254047686,0
7,47,6,64.16767567467116,0
13,1,1,140.255276411932,0
18,48,2,204.74714856506242,0
7,52,0,170.8978210427506,0
17,4,3,275.51851983046015,0
0,19,4,256.34266477379185,0
21,5,4,999.7388989914696,0
23,41,1,292.31322648617527,0
7,33,4,192.9964362111097,0
7,47,0,227.93968854954946,0
14,17,6,211.74832093349093,0
14,40,0,166.50120385576656,0
0,16,2,197.35688678635057,0
5,38,1,295.71378929038366,0
5,43,2,144.82481040095917,0
10,38,4,174.93013626264604,0
10,46,6,121.44208790649482,0
12,48,5,151.83486405374387,0
13,6,6,164.929803118749,0
23,55,3,1132.4170862223339,0
12,38,1,240.49163617513864,0
0,50,3,117.6067201012494,0
16,33,5,114.8193371402737,0
13,5,6,163.82496012758307,0
12,1,6,194.00594132451454,0
17,19,6,73.75682735513622,0
7,30,0,32.37205521419292,0
7,39,1,149.4718733802068,0
20,40,5,87.05795410106046,0
8,35,0,1191.8629529391444,0
15,31,1,200.78979626554704,0
14,13,6,90.68807064940478,0
18,0,1,257.84504743529806,0
19,29,0,1067.6582076781435,0
23,15,2,30.04062157248889,0
16,57,1,245.3411255514763,0
22,41,2,93.81511069082039,0
15,55,0,270.2053950790912,0
17,10,1,217.10290323006345,0
16,53,4,279.5016833618204,0
15,5,3,204.94514313356345,0
9,28,5,44.772896493303385,0
16,57,5,245.72826355940953,0
12,38,0,172.04533830480437,0
18,46,4,42.22019626638742,0
16,59,5,218.33071152717426,0
4,45,6,60.70960608028685,0
0,53,3,165.45419189348985,0
4,32,0,186.77065820314692,0
19,48,6,99.66188196277338,0
10,33,3,77.01474314750635,0
10,52,1,80.67746780726051,0
2,35,2,284.5175208769301,0
5,45,2,287.7707150723468,0
15,11,2,187.3269616125835,0
0,20,5,140.5072637165822,0
1,2,1,284.5002456894133,0
10,20,5,175.22407423092767,0
14,40,2,80.90049218984582,0
21,12,4,291.86773513781833,0
15,12,2,117.61819622847166,0
11,9,1,192.8662352739181,0
14,43,5,296.14950240590673,0
5,24,4,61.02129714172601,0
21,31,3,276.06177079899885,0
16,56,0,55.90076643383168,0
18,15,4,94.31031036719507,0
7,56,2,51.43709517942814,0
0,40,6,202.0415057915695,0
14,9,5,252.9447727048967,0
19,2,2,207.04604574483074,0
16,29,4,1.923526968987962,0
21,42,5,292.42275634739894,0
17,35,5,131.0860447241227,0
11,43,3,1.0109387739127607,0
2,34,0,94.32279427340671,0
23,44,6,112.76528013448775,0
21,12,2,83.80475186797977,0
9,4,0,184.14964772860785,0
11,23,0,49.25709262070639,0
11,37,0,266.95211166089257,0
12,53,2,61.883228926603266,0
11,44,5,238.84804026881224,0
9,38,2,125.33649782630964,0
13,50,5,177.0667693349876,0
7,15,3,177.75710647222925,0
23,59,4,170.49397588431094,0
19,56,2,158.5286794033484,0
18,51,4,212.40267977846844,0
20,43,2,200.67049953477363,0
5,40,4,232.313128963177,0
13,22,3,237.9938688059632,0
19,15,1,99.7012776072844,0
16,19,4,193.76480250694487,0
23,16,3,45.34239215894243,0
3,0,4,87.79019984832124,0
13,18,5,141.77060070751557,0
5,13,1,249.46863474665705,0
14,22,5,65.80073454283568,0
22,51,3,83.35211703100444,0
10,23,5,53.09133696840796,0
18,31,4,149.2507603252563,0
22,59,6,53.44941799969156,0
2,15,5,274.5841296045369,0
18,12,4,0.5111587313570642,0
1,12,1,244.90488638012152,0
2,20,5,140.45426637707422,0
3,22,0,179.6481229981497,0
9,29,5,276.0889963106074,0
7,33,1,291.8306950348842,0
17,44,1,63.663767867373906,0
20,21,1,276.2894696705457,0
12,52,5,60.95200840223812,0
5,1,5,167.1241530898401,0
11,59,1,78.53175686064816,0
14,52,1,89.57466848696063,0
21,7,1,278.4902950475903,0
16,58,0,165.55912854862655,0
2,39,5,59.44284243236477,0
1,32,0,275.51030044723643,0
6,13,0,231.05573178265743,0
14,59,6,9.378392199243804,0
21,29,0,267.8529545710776,0
18,55,4,77.84569019543335,0
13,19,2,3.044793585242229,0
21,0,3,132.7909851016589,0
6,4,4,246.07313330530238,0
13,11,4,271.2037888934245,0
18,13,2,181.49091615797164,0
8,12,4,175.92088812181524,0
6,36,1,63.37661526209198,0
4,40,4,46.83392573268414,0
18,59,5,32.52570703364309,0
21,18,3,62.55326901903741,0
11,16,1,71.65653279309117,0
7,33,5,54.63647033603374,0
9,45,5,201.63542387370347,0
20,14,1,5.830764478898081,0
17,52,5,265.90396319865926,0
23,12,4,181.0968392081501,0
10,47,1,131.84253671348603,0
11,41,3,215.6865442235622,0
1,49,3,122.96553551802667,0
10,55,6,160.92308323785352,0
5,15,6,288.89951814504894,0
12,39,5,156.66002868569447,0
13,7,1,299.23344446538624,0
12,52,6,226.7829428653422,0
6,20,6,91.39856150327186,0
